[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[37, 38]; [-0.45, -0.4]: 9080 / 1566
[37, 38]; [-0.4, -0.35]: 8833 / 1518
[37, 38]; [-0.35, -0.3]: 9116 / 1614
[37, 38]; [-0.3, -0.25]: 9114 / 1516
[37, 38]; [-0.25, -0.2]: 9193 / 1606
[37, 38]; [-0.2, -0.15]: 9082 / 1598
[37, 38]; [-0.15, -0.1]: 8971 / 1489
[37, 38]; [-0.1, -0.05]: 8895 / 1527
[37, 38]; [-0.05, 0]: 9132 / 1507
[37, 38]; [0, 0.05]: 9029 / 1480
[37, 38]; [0.05, 0.1]: 9045 / 1518
[37, 38]; [0.1, 0.15]: 8903 / 1522
[37, 38]; [0.15, 0.2]: 8997 / 1543
[37, 38]; [0.2, 0.25]: 8972 / 1593
[37, 38]; [0.25, 0.3]: 9119 / 1485
[37, 38]; [0.3, 0.35]: 9206 / 1553
[37, 38]; [0.35, 0.4]: 9119 / 1633
[37, 38]; [0.4, 0.45]: 9035 / 1618
[37, 38]; [0.45, 0.5]: 9100 / 1576
[37, 38]; [0.5, 0.55]: 8950 / 1682
[37, 38]; [0.55, 0.6]: 8811 / 1594
[37, 38]; [0.6, 0.65]: 8722 / 1587
[37, 38]; [0.65, 0.7]: 7380 / 1398
[37, 38]; [0.7, 0.75]: 1948 / 367
[37, 38]; [0.75, 0.8]: 1 / 0
