[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[34, 35]; [0.85, 0.9]: 0 / 0
[34, 35]; [0.9, 0.95]: 0 / 0
[34, 35]; [0.95, 1]: 0 / 0

[35, 36]; [-1, -0.95]: 0 / 0
[35, 36]; [-0.95, -0.9]: 0 / 0
[35, 36]; [-0.9, -0.85]: 0 / 0
[35, 36]; [-0.85, -0.8]: 0 / 0
[35, 36]; [-0.8, -0.75]: 0 / 0
[35, 36]; [-0.75, -0.7]: 814 / 176
[35, 36]; [-0.7, -0.65]: 6069 / 1433
[35, 36]; [-0.65, -0.6]: 9159 / 2196
[35, 36]; [-0.6, -0.55]: 9116 / 2212
[35, 36]; [-0.55, -0.5]: 9005 / 2254
[35, 36]; [-0.5, -0.45]: 8899 / 2158
[35, 36]; [-0.45, -0.4]: 8862 / 2173
[35, 36]; [-0.4, -0.35]: 8747 / 2106
[35, 36]; [-0.35, -0.3]: 8727 / 2077
[35, 36]; [-0.3, -0.25]: 8584 / 2143
[35, 36]; [-0.25, -0.2]: 8584 / 2197
[35, 36]; [-0.2, -0.15]: 8635 / 2135
[35, 36]; [-0.15, -0.1]: 8461 / 2147
[35, 36]; [-0.1, -0.05]: 8261 / 2133
[35, 36]; [-0.05, 0]: 8492 / 2181
[35, 36]; [0, 0.05]: 8423 / 2177
[35, 36]; [0.05, 0.1]: 8427 / 2134
[35, 36]; [0.1, 0.15]: 8297 / 2097
[35, 36]; [0.15, 0.2]: 8349 / 2207
[35, 36]; [0.2, 0.25]: 8433 / 2171
[35, 36]; [0.25, 0.3]: 8433 / 2203
[35, 36]; [0.3, 0.35]: 8603 / 2239
[35, 36]; [0.35, 0.4]: 8803 / 2130
[35, 36]; [0.4, 0.45]: 8829 / 2171
[35, 36]; [0.45, 0.5]: 8759 / 2221
[35, 36]; [0.5, 0.55]: 8932 / 2259
[35, 36]; [0.55, 0.6]: 9175 / 2213
[35, 36]; [0.6, 0.65]: 8840 / 2148
[35, 36]; [0.65, 0.7]: 5991 / 1446
[35, 36]; [0.7, 0.75]: 759 / 229
[35, 36]; [0.75, 0.8]: 0 / 0
[35, 36]; [0.8, 0.85]: 0 / 0
[35, 36]; [0.85, 0.9]: 0 / 0
[35, 36]; [0.9, 0.95]: 0 / 0
[35, 36]; [0.95, 1]: 0 / 0

[36, 37]; [-1, -0.95]: 0 / 0
[36, 37]; [-0.95, -0.9]: 0 / 0
[36, 37]; [-0.9, -0.85]: 0 / 0
[36, 37]; [-0.85, -0.8]: 0 / 0
[36, 37]; [-0.8, -0.75]: 0 / 0
[36, 37]; [-0.75, -0.7]: 1063 / 250
[36, 37]; [-0.7, -0.65]: 5970 / 1358
[36, 37]; [-0.65, -0.6]: 7933 / 1877
[36, 37]; [-0.6, -0.55]: 7673 / 2016
[36, 37]; [-0.55, -0.5]: 7646 / 1953
[36, 37]; [-0.5, -0.45]: 7433 / 1866
[36, 37]; [-0.45, -0.4]: 7398 / 1843
[36, 37]; [-0.4, -0.35]: 7312 / 1833
[36, 37]; [-0.35, -0.3]: 7341 / 1869
[36, 37]; [-0.3, -0.25]: 7506 / 1851
[36, 37]; [-0.25, -0.2]: 7284 / 1787
[36, 37]; [-0.2, -0.15]: 7272 / 1852
[36, 37]; [-0.15, -0.1]: 7313 / 1847
[36, 37]; [-0.1, -0.05]: 7258 / 1843
