[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries
[35, 36]; [0.05, 0.1]: 8427 / 13590
[35, 36]; [0.1, 0.15]: 8297 / 13801
[35, 36]; [0.15, 0.2]: 8349 / 13699
[35, 36]; [0.2, 0.25]: 8433 / 13678
[35, 36]; [0.25, 0.3]: 8433 / 13616
[35, 36]; [0.3, 0.35]: 8603 / 13816
[35, 36]; [0.35, 0.4]: 8803 / 13601
[35, 36]; [0.4, 0.45]: 8829 / 13604
[35, 36]; [0.45, 0.5]: 8759 / 13485
[35, 36]; [0.5, 0.55]: 8932 / 13432
[35, 36]; [0.55, 0.6]: 9175 / 13298
[35, 36]; [0.6, 0.65]: 8840 / 13263
[35, 36]; [0.65, 0.7]: 5991 / 8729
[35, 36]; [0.7, 0.75]: 759 / 1223
[35, 36]; [0.75, 0.8]: 0 / 0
[35, 36]; [0.8, 0.85]: 0 / 0
[35, 36]; [0.85, 0.9]: 0 / 0
[35, 36]; [0.9, 0.95]: 0 / 0
[35, 36]; [0.95, 1]: 0 / 0

[36, 37]; [-1, -0.95]: 0 / 0
[36, 37]; [-0.95, -0.9]: 0 / 0
[36, 37]; [-0.9, -0.85]: 0 / 0
[36, 37]; [-0.85, -0.8]: 0 / 0
[36, 37]; [-0.8, -0.75]: 0 / 0
[36, 37]; [-0.75, -0.7]: 1063 / 1545
[36, 37]; [-0.7, -0.65]: 5970 / 8964
[36, 37]; [-0.65, -0.6]: 7933 / 11558
[36, 37]; [-0.6, -0.55]: 7673 / 11892
[36, 37]; [-0.55, -0.5]: 7646 / 11817
[36, 37]; [-0.5, -0.45]: 7433 / 11805
[36, 37]; [-0.45, -0.4]: 7398 / 12009
[36, 37]; [-0.4, -0.35]: 7312 / 11676
[36, 37]; [-0.35, -0.3]: 7341 / 11841
[36, 37]; [-0.3, -0.25]: 7506 / 11878
[36, 37]; [-0.25, -0.2]: 7284 / 11910
[36, 37]; [-0.2, -0.15]: 7272 / 12015
[36, 37]; [-0.15, -0.1]: 7313 / 12074
[36, 37]; [-0.1, -0.05]: 7258 / 11847
[36, 37]; [-0.05, 0]: 7364 / 11772
[36, 37]; [0, 0.05]: 7060 / 11951
[36, 37]; [0.05, 0.1]: 7171 / 12237
[36, 37]; [0.1, 0.15]: 7133 / 11943
[36, 37]; [0.15, 0.2]: 7235 / 12132
[36, 37]; [0.2, 0.25]: 7314 / 11842
[36, 37]; [0.25, 0.3]: 7235 / 12002
[36, 37]; [0.3, 0.35]: 7240 / 11938
[36, 37]; [0.35, 0.4]: 7416 / 11978
[36, 37]; [0.4, 0.45]: 7666 / 11876
[36, 37]; [0.45, 0.5]: 7642 / 11721
[36, 37]; [0.5, 0.55]: 7696 / 11726
[36, 37]; [0.55, 0.6]: 7814 / 11891
[36, 37]; [0.6, 0.65]: 7875 / 11799
[36, 37]; [0.65, 0.7]: 6179 / 8839
[36, 37]; [0.7, 0.75]: 1156 / 1723
[36, 37]; [0.75, 0.8]: 0 / 0
[36, 37]; [0.8, 0.85]: 0 / 0
[36, 37]; [0.85, 0.9]: 0 / 0
[36, 37]; [0.9, 0.95]: 0 / 0
[36, 37]; [0.95, 1]: 0 / 0

[37, 38]; [-1, -0.95]: 0 / 0
[37, 38]; [-0.95, -0.9]: 0 / 0
[37, 38]; [-0.9, -0.85]: 0 / 0
[37, 38]; [-0.85, -0.8]: 0 / 0
[37, 38]; [-0.8, -0.75]: 0 / 0
[37, 38]; [-0.75, -0.7]: 1540 / 2204
[37, 38]; [-0.7, -0.65]: 5790 / 8497
[37, 38]; [-0.65, -0.6]: 6928 / 10310
[37, 38]; [-0.6, -0.55]: 6776 / 10167
[37, 38]; [-0.55, -0.5]: 6585 / 10303
[37, 38]; [-0.5, -0.45]: 6464 / 10432
[37, 38]; [-0.45, -0.4]: 6459 / 10457
[37, 38]; [-0.4, -0.35]: 6382 / 10180
[37, 38]; [-0.35, -0.3]: 6321 / 10487
[37, 38]; [-0.3, -0.25]: 6277 / 10518
[37, 38]; [-0.25, -0.2]: 6361 / 10580
[37, 38]; [-0.2, -0.15]: 6272 / 10439
[37, 38]; [-0.15, -0.1]: 6236 / 10307
[37, 38]; [-0.1, -0.05]: 6183 / 10224
[37, 38]; [-0.05, 0]: 6061 / 10490
[37, 38]; [0, 0.05]: 6175 / 10447
[37, 38]; [0.05, 0.1]: 6138 / 10473
[37, 38]; [0.1, 0.15]: 6195 / 10220
[37, 38]; [0.15, 0.2]: 6182 / 10433
[37, 38]; [0.2, 0.25]: 6242 / 10381
[37, 38]; [0.25, 0.3]: 6269 / 10529
[37, 38]; [0.3, 0.35]: 6480 / 10620
[37, 38]; [0.35, 0.4]: 6551 / 10498
[37, 38]; [0.4, 0.45]: 6463 / 10453
[37, 38]; [0.45, 0.5]: 6618 / 10489
[37, 38]; [0.5, 0.55]: 6663 / 10367
[37, 38]; [0.55, 0.6]: 6635 / 10209
[37, 38]; [0.6, 0.65]: 6895 / 10126
[37, 38]; [0.65, 0.7]: 5859 / 8594
[37, 38]; [0.7, 0.75]: 1572 / 2203
[37, 38]; [0.75, 0.8]: 0 / 1
